grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2013,6,2013-06-01,186,8568214.916666666,2.1708138954147578
Feminino,2013,7,2013-07-01,145,8568214.916666666,1.6923011550276337
Feminino,2013,8,2013-08-01,176,8568214.916666666,2.054103470930093
Feminino,2013,9,2013-09-01,193,8568214.916666666,2.252511192554023
Feminino,2013,10,2013-10-01,188,8568214.916666666,2.194155980311691
Feminino,2013,11,2013-11-01,161,8568214.916666666,1.8790378342030967
Feminino,2013,12,2013-12-01,191,8568214.916666666,2.22916910765709
Feminino,2014,1,2014-01-01,214,8648506.083333334,2.4744157885533853
Feminino,2014,2,2014-02-01,176,8648506.083333334,2.0350335457261486
Feminino,2014,3,2014-03-01,230,8648506.083333334,2.659418838164853
Feminino,2014,4,2014-04-01,189,8648506.083333334,2.1853485235354664
Feminino,2014,5,2014-05-01,166,8648506.083333334,1.9194066397189808
Feminino,2014,6,2014-06-01,164,8648506.083333334,1.8962812585175477
Feminino,2014,7,2014-07-01,131,8648506.083333334,1.5147124686938946
Feminino,2014,8,2014-08-01,176,8648506.083333334,2.0350335457261486
Feminino,2014,9,2014-09-01,205,8648506.083333334,2.3703515731469342
Feminino,2014,10,2014-10-01,199,8648506.083333334,2.3009754295426337
Feminino,2014,11,2014-11-01,199,8648506.083333334,2.3009754295426337
Feminino,2014,12,2014-12-01,184,8648506.083333334,2.1275350705318825
Feminino,2015,1,2015-01-01,223,8726585,2.555409704941853
Feminino,2015,2,2015-02-01,172,8726585,1.9709886513452857
Feminino,2015,3,2015-03-01,209,8726585,2.3949803961114227
Feminino,2015,4,2015-04-01,209,8726585,2.3949803961114227
Feminino,2015,5,2015-05-01,198,8726585,2.2689287963160845
Feminino,2015,6,2015-06-01,189,8726585,2.1657956692108082
Feminino,2015,7,2015-07-01,191,8726585,2.1887141419008693
Feminino,2015,8,2015-08-01,213,8726585,2.4408173414915457
Feminino,2015,9,2015-09-01,202,8726585,2.3147657416962075
Feminino,2015,10,2015-10-01,183,8726585,2.097040251140624
Feminino,2015,11,2015-11-01,201,8726585,2.303306505351177
Feminino,2015,12,2015-12-01,206,8726585,2.3606026870763306
Feminino,2016,1,2016-01-01,205,8802628.333333334,2.328849887069714
Feminino,2016,2,2016-02-01,192,8802628.333333334,2.1811667234994396
Feminino,2016,3,2016-03-01,214,8802628.333333334,2.43109207723375
Feminino,2016,4,2016-04-01,189,8802628.333333334,2.147085993444761
Feminino,2016,5,2016-05-01,206,8802628.333333334,2.3402101304212737
Feminino,2016,6,2016-06-01,180,8802628.333333334,2.044843803280725
Feminino,2016,7,2016-07-01,171,8802628.333333334,1.9426016131166883
Feminino,2016,8,2016-08-01,196,8802628.333333334,2.226607696905678
Feminino,2016,9,2016-09-01,184,8802628.333333334,2.0902847766869628
Feminino,2016,10,2016-10-01,219,8802628.333333334,2.487893293991548
Feminino,2016,11,2016-11-01,227,8802628.333333334,2.578775240804025
Feminino,2016,12,2016-12-01,195,8802628.333333334,2.2152474535541185
Feminino,2017,1,2017-01-01,218,8876555.25,2.455907656294935
Feminino,2017,2,2017-02-01,192,8876555.25,2.1630012385716855
Feminino,2017,3,2017-03-01,238,8876555.25,2.681220285312819
Feminino,2017,4,2017-04-01,195,8876555.25,2.196798132924368
Feminino,2017,5,2017-05-01,214,8876555.25,2.4108451304913583
Feminino,2017,6,2017-06-01,196,8876555.25,2.2080637643752627
Feminino,2017,7,2017-07-01,216,8876555.25,2.4333763933931465
Feminino,2017,8,2017-08-01,249,8876555.25,2.805142231272655
Feminino,2017,9,2017-09-01,233,8876555.25,2.624892128058348
Feminino,2017,10,2017-10-01,245,8876555.25,2.7600797054690784
Feminino,2017,11,2017-11-01,229,8876555.25,2.579829602254771
Feminino,2017,12,2017-12-01,239,8876555.25,2.692485916763713
Feminino,2018,1,2018-01-01,213,8918689.416666666,2.388243272626575
Feminino,2018,2,2018-02-01,206,8918689.416666666,2.3097564045120866
Feminino,2018,3,2018-03-01,263,8918689.416666666,2.9488637591586353
Feminino,2018,4,2018-04-01,237,8918689.416666666,2.657341106161964
Feminino,2018,5,2018-05-01,226,8918689.416666666,2.534004599124911
Feminino,2018,6,2018-06-01,214,8918689.416666666,2.3994556823572166
Feminino,2018,7,2018-07-01,197,8918689.416666666,2.208844716936316
Feminino,2018,8,2018-08-01,234,8918689.416666666,2.6237038769700405
Feminino,2018,9,2018-09-01,235,8918689.416666666,2.6349162867006815
Feminino,2018,10,2018-10-01,239,8918689.416666666,2.6797659256232467
Feminino,2018,11,2018-11-01,230,8918689.416666666,2.5788542380474757
Feminino,2018,12,2018-12-01,235,8918689.416666666,2.6349162867006815
Feminino,2019,1,2019-01-01,231,8995903.083333334,2.567835578708852
Feminino,2019,2,2019-02-01,217,8995903.083333334,2.4122091799992247
Feminino,2019,3,2019-03-01,269,8995903.083333334,2.9902500894921267
Feminino,2019,4,2019-04-01,250,8995903.083333334,2.7790428341004896
Feminino,2019,5,2019-05-01,272,8995903.083333334,3.0235986035013327
Feminino,2019,6,2019-06-01,222,8995903.083333334,2.467790036681235
Feminino,2019,7,2019-07-01,250,8995903.083333334,2.7790428341004896
Feminino,2019,8,2019-08-01,238,8995903.083333334,2.645648778063666
Feminino,2019,9,2019-09-01,253,8995903.083333334,2.812391348109695
Feminino,2019,10,2019-10-01,242,8995903.083333334,2.690113463409274
Feminino,2019,11,2019-11-01,230,8995903.083333334,2.55671940737245
Feminino,2019,12,2019-12-01,245,8995903.083333334,2.72346197741848
Feminino,2020,1,2020-01-01,249,9071349.166666666,2.7449059166961476
Feminino,2020,2,2020-02-01,245,9071349.166666666,2.700811042532354
Feminino,2020,3,2020-03-01,284,9071349.166666666,3.130736065629341
Feminino,2020,4,2020-04-01,220,9071349.166666666,2.4252180790086446
Feminino,2020,5,2020-05-01,223,9071349.166666666,2.4582892346314895
Feminino,2020,6,2020-06-01,212,9071349.166666666,2.3370283306810578
Feminino,2020,7,2020-07-01,225,9071349.166666666,2.4803366717133866
Feminino,2020,8,2020-08-01,257,9071349.166666666,2.833095665023735
Feminino,2020,9,2020-09-01,272,9071349.166666666,2.9984514431379603
Feminino,2020,10,2020-10-01,241,9071349.166666666,2.6567161683685607
Feminino,2020,11,2020-11-01,264,9071349.166666666,2.9102616948103734
Feminino,2020,12,2020-12-01,272,9071349.166666666,2.9984514431379603
Feminino,2021,1,2021-01-01,294,9144896.833333334,3.2149077825390444
Feminino,2021,2,2021-02-01,271,9144896.833333334,2.963401391388031
Feminino,2021,3,2021-03-01,281,9144896.833333334,3.072751996236298
Feminino,2021,4,2021-04-01,275,9144896.833333334,3.0071416333273375
Feminino,2021,5,2021-05-01,268,9144896.833333334,2.9305962099335505
Feminino,2021,6,2021-06-01,259,9144896.833333334,2.8321806655701107
Feminino,2021,7,2021-07-01,257,9144896.833333334,2.8103105446004575
Feminino,2021,8,2021-08-01,293,9144896.833333334,3.2039727220542176
Feminino,2021,9,2021-09-01,307,9144896.833333334,3.357063568841791
Feminino,2021,10,2021-10-01,339,9144896.833333334,3.7069855043562456
Feminino,2021,11,2021-11-01,297,9144896.833333334,3.247712963993525
Feminino,2021,12,2021-12-01,290,9144896.833333334,3.171167540599738
Feminino,2022,1,2022-01-01,302,8712360.416666666,3.4663396089798666
Feminino,2022,2,2022-02-01,275,8712360.416666666,3.1564350744021965
Feminino,2022,3,2022-03-01,351,8712360.416666666,4.0287589495097125
Feminino,2022,4,2022-04-01,300,8712360.416666666,3.443383717529669
Feminino,2022,5,2022-05-01,302,8712360.416666666,3.4663396089798666
Feminino,2022,6,2022-06-01,274,8712360.416666666,3.1449571286770976
